,req,reqId,reqPriority,reqSeverity,reqType
0,Proxy: map HTTP 500 errors to necko errors (so Internet Keywords and Domain Guessing would work),2875,P3,normal,enhancement
3,Fix incorrectly-written retry loop in nsUnicodeNormalizer,1378683,--,normal,enhancement
4,Warnings for USENET etiquette errors required by GNKSA,3746,P5,normal,enhancement
5,DNS: Need to query arbitrary DNS record types in Mozilla,545866,P3,normal,enhancement
6,URL linkifying code should cross linebreaks [libmime][mozTXTToHTMLConv],5351,--,normal,enhancement
7,WebRender doesn't infer the color for groove / ridge borders,1488294,P1,normal,enhancement
9,Automatically update bookmarks when sites move/disappear.,8648,--,normal,enhancement
10,"Remove support for ""skin"" chrome registration after removing support for complete themes",1385444,P3,normal,enhancement
18,Allow opening multiple new URLs in new windows at once. (need a way to open many links in new tabs at once),9274,--,normal,enhancement
19,[remote-dbg-next] migrate aboutdebugging test: browser_addons_reload.js,1500383,P1,normal,enhancement
26,robustcheckout telemetry improvements,1506958,--,normal,enhancement
27,Message headers don't scroll with the message,9942,--,normal,enhancement
31,"Implement drag & drop of attached messages to mail folders (*.eml, message/rfc822 type mime attachments)",11013,--,normal,enhancement
36,"Implement new filter actions: Auto reply, forward, bounce",11034,P3,normal,enhancement
38,[remote-dbg-next] Share a single client between about:debugging and about:devtools-toolbox,1497457,P1,normal,enhancement
39,[meta] improve developer experience,1505392,P5,normal,task
40,stylo: Keep the UA parts of the stylist across changes to document sheets,1382925,P1,normal,enhancement
65,Filter by example (create a filter based on a message you're viewing),11036,--,normal,enhancement
76,add Javascript filter actions (not criteria),11037,--,normal,enhancement
82,Customisable notifications,411074,--,normal,enhancement
83,Synchronously flush CaptureCommandList when it gets too large,1478815,P3,normal,enhancement
84,"Allow filters to control biff UI (i.e. only notify me of ""important"" messages)",11040,P3,normal,enhancement
102,Auto-watch threads you've posted to (Preference),11048,--,normal,enhancement
108,Use mozStorage or IndexedDB instead of Mork for the message summary database,11050,--,critical,task
110,Add plumbing for Telemetry for new network process,1486033,P3,normal,enhancement
111,Make Bugzilla::Version use Bugzilla::Object,339385,--,normal,enhancement
112,View as different media (mime) type support,11521,--,normal,enhancement
113,Browsing context target actor: refactor Protocol.js actor pools,1473513,P3,normal,enhancement
114,"[RFE]Should be able to ""Edit Frame"" as implemented in 4.x",29162,P1,normal,enhancement
115,Update webrender to 8a4fe66528aa362721e4048aac3cd5abf7faaf2c,1477970,P3,normal,enhancement
121,"LDAP autocomplete should resolve LDAP mailing lists (groups, compose window)",12409,P3,normal,enhancement
123,"Commands in listener.js have to check if ""current browsing context"" is open (fails for removed frames)",1493108,P2,normal,enhancement
124,Stop reinitializing textures in WebRender,1497665,P2,normal,enhancement
125,"Implement more platform-specific keybindings (sparc help key, mac help key, windows menu key, etc.)",13168,P3,normal,enhancement
126,"Support WebDAV protocol for publishing (revision, etc.; Composer-specific UI and code)",13383,--,normal,enhancement
128,Indicate whether a link will open in a new window,14027,P3,normal,enhancement
129,Don't broadcast every blob URL to every content process,1513132,--,normal,enhancement
153,Remove the XPCOM component registration for nsCommandManager,1488111,P3,normal,enhancement
154,"Handle editing of frameset documents [and iframe's, too]",14156,--,normal,enhancement
160,don't popup new windows while mouse button is down,14716,--,normal,enhancement
161,Sidewinder UI on iPads in SFO 1 and 2 does not display room names.,922365,--,normal,task
162,[RFE] Allow bookmarking of e-mail/Usenet messages,14988,P3,normal,enhancement
164,Ability to rearrange toolbars (by drag and drop),15322,--,normal,enhancement
165,Handle MAX_MODIFY_ATTEMPTS exhausted in claimWork,1453310,P5,normal,enhancement
171,should be a status whiteboard field on new bug form,16647,P3,normal,enhancement
172,Use sharedData rather than initialProcessData for extension metadata,1470783,P1,normal,enhancement
174,[FEATURE] Add customizable header prefs,16904,--,normal,enhancement
176,Enable search in multiple/all address books,170270,P2,normal,enhancement
177,Use .properties for the SVG elements summary tables on fr pages,1218861,--,normal,enhancement
180,Word-wrap text/plain content pref UI,16909,--,normal,enhancement
182,Convert from reference by value to reference by ID - resolution,398741,--,normal,enhancement
187,[wpt-sync] Sync PR 13362 - [WIP] ReadableStream @@asyncIterator tests,1496770,P4,normal,enhancement
188,Advanced Prefs - Edit *all* prefs using tree UI,17199,P3,normal,enhancement
196,"Remove noscript/native only calls in nsIDocShell, replace with nsDocShell calls",1505653,P3,normal,enhancement
197,Disable extension devtools_page for private tabs when not allowed by users,1518486,P1,normal,enhancement
198,[Wayland/Clipboard] Clipboard minor fixes,1491824,--,normal,enhancement
199,Ability to submit form in a new window / tab (when button is middle or right clicked),17754,P3,normal,enhancement
221,Two way LDAP replication (sync changes to server),17884,P3,normal,enhancement
222,Support tables in plaintext output,18012,P3,normal,enhancement
223,[meta] Child process shutdown issues,1487112,--,normal,enhancement
224,[FEATURE] Gnome and KDE integration for new mail notification,18732,--,normal,enhancement
226,Remove nsIDOMWindowInternal,1375123,P3,normal,enhancement
232,"New windows/tabs should inherit current page, back button/go menu history",18808,P2,normal,enhancement
237,"Instrument inspection of ""Rotate device"" in RDM with event telemetry",1480767,P2,normal,enhancement
238,Need a non-RAII API for profiler labelling in mozglue,1573273,P1,normal,task
269,[remote-dbg-next] about:debugging should indicate if a toolbox is already opened for a given target,1497454,P1,normal,enhancement
271,Regular expressions in mail and news filters,19442,--,normal,enhancement
284,Export address book card/contact as vCard,20304,--,normal,enhancement
285,Convert more test archives away from zip files,1367157,--,normal,enhancement
286,Add whawkins@mozilla.com to the perfteam Github team,1575283,--,normal,task
287,Remove support for the -moz-windows-theme media query,1466614,P4,normal,enhancement
290,PGP support,22687,--,normal,enhancement
291,Handle errors in readableStreams.html,1511040,--,normal,enhancement
296,[meta] Allow user to turn on and off rendering of video/audio (disable sound),24418,--,normal,enhancement
307,"Please make the severities, priorities, opsys's and platforms per project configurable",301139,--,normal,task
308,Add hyphenation resources for Czech,987674,--,normal,enhancement
309,Lazily load ContentRestore.jsm,1474131,P1,normal,enhancement
338,Can't turn chrome back on in chromeless window,26353,--,normal,enhancement
340,UI feature to insert frames into Composer doc,152981,--,normal,enhancement
341,Application panel: enhancements to the list of workers,1462242,--,normal,enhancement
346,meta bug - show error pages instead of dialogs for network errors (placeholder page in the content area) (http error pages),28586,P3,normal,enhancement
348,Integrate open windows into other window as tab,146697,--,normal,enhancement
376,Address book should have full vCard 4.0 RFC 6350 and RFC2426 (vCard 3.0) support,29106,--,normal,enhancement
379,Add redirection for rand(),1505962,--,normal,enhancement
380,Reduce clang-cl warnings from mozglue/misc/interceptor,1479777,--,normal,enhancement
384,"Classification, Product, and Component should all be generic level of ""classification""",280122,P3,normal,enhancement
385,feature to zoom so that majority of text on a page is user's default size,31961,P3,normal,enhancement
388,Create moz.yaml for bspatch,1508782,--,minor,enhancement
389,Wildcard (or regexp/regular expression) searching,32641,--,normal,enhancement
392,Make ContentParent::PreallocateProcess asynchronous,1446161,P1,normal,enhancement
393,font sample display in font prefs,33340,--,normal,enhancement
395,Hyphenate before interword capital letter,956213,--,normal,enhancement
396,Add a 'blacklist website' feature to Mozilla,33469,--,normal,enhancement
400,Use native context menus on Mac OS,34572,P3,normal,enhancement
401,Global message filter option to use a filter shared across accounts,34973,--,normal,enhancement
403,Stop using the :not(:target) selector in search-arrow-go.svg,1363075,--,normal,enhancement
416,Hide/Mute quoted text,35929,--,normal,enhancement
417,"You should be able to turn off URL, Platform, OS, Version fields in Bugzilla",160572,--,normal,enhancement
418,Scroll to non-quoted text,35930,--,normal,enhancement
419,[meta] Default font changes in Firefox 55,1344750,--,normal,enhancement
423,Proxy icon in title bar,36305,P3,normal,enhancement
424,Get rid of nsIDOMWheelEvent,1446851,P2,normal,enhancement
425,Initial identity based on rules,36482,P3,normal,enhancement
430,[Meta] LDAP Support,36557,--,normal,enhancement
435,Remove new Function from autocomplete.xml,1498560,P3,normal,enhancement
436,Auto-filter based on message's thread parent,37654,P3,normal,enhancement
439,subscribe to newsgroups dialog should support description (charters/taglines/LIST NEWSGROUPS),37775,P3,normal,enhancement
442,boolean chart: split comparison type from what happened,38487,P2,normal,enhancement
444,outline should follow shape of border-radius (remove -moz-outline-radius),315209,P3,normal,enhancement
447,Save as rfc 2557 MHTML; complete webpage in one file,40873,P3,normal,enhancement
448,[meta] Improvements to the <input type=color> implementation,1445061,--,normal,enhancement
449,Get rid of nsIDOMMouseEvent,1446711,P2,normal,enhancement
450,Add target frame frame of hovered-link to status bar,201785,--,normal,enhancement
462,Paste Special submenu needed - paste cells as Rows or Columns,41547,--,normal,enhancement
463,Upload symbols archive containing files for the js shell,1351559,--,normal,enhancement
464,Port SanitizeAsBCP47 to LocaleService,1346819,--,normal,enhancement
465,Browse local file system via the sidebar,43873,P3,normal,enhancement
471,Component trees,43940,P3,normal,enhancement
472,[autoimport] Show the information tooltip on the new tab page,1361290,P5,normal,enhancement
473,Params should be in Bugzilla::Config::Param namespace,316753,--,normal,task
474,[SM] Checkbox to remember the decision the user makes in the askSendFormat dialog so that we don't ask again,44494,--,normal,enhancement
475,[traceback] SerializationError: (big long string that's 7.3mb long),1381879,--,normal,task
480,Attaching Web page to mail does not include objects,45602,--,normal,enhancement
481,Add helper classes to emit bytecode for object literal and class declaration/expression,1501577,P3,normal,enhancement
482,"[remote-dbg-next] Add fowarding function of ""getActor(id)"" to clientWrapper",1512616,P3,normal,enhancement
483,[AltSS] alternate user stylesheets,45848,P5,normal,enhancement
486,input helper applications for file upload form submission,46135,P5,normal,enhancement
488,Twitter tools automatic tweet fetching doesn't work,827746,--,normal,task
489,Snip command (toolbar button),47267,P3,normal,enhancement
490,"[Meta] Implement and ship CSS Positioned Masks (mask-image, etc.)",1224422,--,normal,enhancement
491,get rid of nsIDOMXULCheckboxElement,1486674,--,normal,task
492,Implement statusbar tips for menuitems,47434,--,normal,enhancement
494,Allow horizontally adjacent toolbars (with splitters),48926,P3,normal,enhancement
497,responsive design mode needs preset browser width buttons like Chrome,1491881,P3,normal,enhancement
500,"when extraneous </script> is encountered, explain bug 32618",49551,P3,normal,enhancement
501,"Instrument inspection of ""continue"" in the Debugger with event telemetry",1463122,P2,normal,enhancement
